DATE,ECOMPCTSA
10/1/1999,0.6
1/1/2000,0.8
4/1/2000,0.9
7/1/2000,1
10/1/2000,1
1/1/2001,1.1
4/1/2001,1.1
7/1/2001,1.1
10/1/2001,1.2
1/1/2002,1.3
4/1/2002,1.4
7/1/2002,1.5
10/1/2002,1.5
1/1/2003,1.6
4/1/2003,1.7
7/1/2003,1.8
10/1/2003,1.9
1/1/2004,2
4/1/2004,2
7/1/2004,2.1
10/1/2004,2.2
1/1/2005,2.3
4/1/2005,2.4
7/1/2005,2.5
10/1/2005,2.6
1/1/2006,2.7
4/1/2006,2.8
7/1/2006,3
10/1/2006,3.1
1/1/2007,3.2
4/1/2007,3.4
7/1/2007,3.5
10/1/2007,3.5
1/1/2008,3.6
4/1/2008,3.6
7/1/2008,3.6
10/1/2008,3.6
1/1/2009,3.8
4/1/2009,4
7/1/2009,4.1
10/1/2009,4.1
1/1/2010,4.2
4/1/2010,4.4
7/1/2010,4.6
10/1/2010,4.6
1/1/2011,4.7
4/1/2011,4.8
7/1/2011,4.9
10/1/2011,5.1
1/1/2012,5.2
4/1/2012,5.3
7/1/2012,5.5
10/1/2012,5.6
1/1/2013,5.6
4/1/2013,5.8
7/1/2013,5.9
10/1/2013,6.1
1/1/2014,6.2
4/1/2014,6.3
7/1/2014,6.5
10/1/2014,6.6
1/1/2015,6.9
4/1/2015,7
7/1/2015,7.2
10/1/2015,7.5
1/1/2016,7.7
4/1/2016,7.8
7/1/2016,8
10/1/2016,8.2
1/1/2017,8.4
4/1/2017,8.7
7/1/2017,8.9
10/1/2017,9.1
1/1/2018,9.4
4/1/2018,9.5
7/1/2018,9.7
10/1/2018,9.9
1/1/2019,10
4/1/2019,10.3
7/1/2019,10.7
10/1/2019,11.2
1/1/2020,11.9
4/1/2020,16.4
7/1/2020,14.8
10/1/2020,15
1/1/2021,14.8
4/1/2021,14.6
7/1/2021,14.5
10/1/2021,14.5
1/1/2022,14.3
4/1/2022,14.2
7/1/2022,14.4
10/1/2022,14.6
1/1/2023,14.9
4/1/2023,15.3
7/1/2023,15.4
10/1/2023,15.6
1/1/2024,15.8
4/1/2024,16
