DATE,ECOMSA(in millions USD)
10/1/1999,4476
1/1/2000,5691
4/1/2000,6465
7/1/2000,7419
10/1/2000,7840
1/1/2001,8135
4/1/2001,8336
7/1/2001,8335
10/1/2001,9314
1/1/2002,9904
4/1/2002,10742
7/1/2002,11543
10/1/2002,12231
1/1/2003,12738
4/1/2003,13773
7/1/2003,14833
10/1/2003,15588
1/1/2004,16697
4/1/2004,17519
7/1/2004,18506
10/1/2004,19631
1/1/2005,20801
4/1/2005,22233
7/1/2005,23653
10/1/2005,24364
1/1/2006,26417
4/1/2006,27367
7/1/2006,28842
10/1/2006,30138
1/1/2007,31728
4/1/2007,33524
7/1/2007,34841
10/1/2007,35784
1/1/2008,36014
4/1/2008,36512
7/1/2008,36292
10/1/2008,33050
1/1/2009,34127
4/1/2009,35279
7/1/2009,37400
10/1/2009,38111
1/1/2010,39284
4/1/2010,41301
7/1/2010,43472
10/1/2010,45074
1/1/2011,47036
4/1/2011,48849
7/1/2011,50186
10/1/2011,53188
1/1/2012,55286
4/1/2012,56562
7/1/2012,58552
10/1/2012,60838
1/1/2013,62257
4/1/2013,64020
7/1/2013,65928
10/1/2013,68343
1/1/2014,70253
4/1/2014,73272
7/1/2014,75739
10/1/2014,77707
1/1/2015,80223
4/1/2015,82848
7/1/2015,85775
10/1/2015,88437
1/1/2016,91394
4/1/2016,94320
7/1/2016,97406
10/1/2016,100362
1/1/2017,104572
4/1/2017,108452
7/1/2017,112022
10/1/2017,117309
1/1/2018,121728
4/1/2018,125311
7/1/2018,128056
10/1/2018,131610
1/1/2019,132435
4/1/2019,137954
7/1/2019,146362
10/1/2019,152673
1/1/2020,159268
4/1/2020,211804
7/1/2020,215476
10/1/2020,220552
1/1/2021,231650
4/1/2021,239897
7/1/2021,235241
10/1/2021,243755
1/1/2022,247609
4/1/2022,251463
7/1/2022,255583
10/1/2022,257560
1/1/2023,266314
4/1/2023,273354
7/1/2023,279739
10/1/2023,283293
1/1/2024,287855
4/1/2024,291647
